name,vendor,generation,socket,lithography,cores,threads,base_clock_ghz,boost_clock_ghz,tdp_w,memory_types,max_memory_gb,memory_channels,ecc_support,has_igpu,url
A10-7850K,AMD,Kaveri,,28nm,4,4,3.7,4.0,95,DDR3,64,2,No,Yes,https://pcspecs.io/cpus/a10-7850k
A8-7600,AMD,Kaveri,,28nm,4,4,3.1,3.8,65,DDR3,64,2,No,Yes,https://pcspecs.io/cpus/a8-7600
Athlon 200GE,AMD,Zen,AM4,14nm,2,4,3.2,3.2,35,DDR4,64,2,No,Yes,https://pcspecs.io/cpus/athlon-200ge
Athlon 240GE,AMD,Zen,AM4,14nm,2,4,3.5,3.5,35,DDR4,64,2,No,Yes,https://pcspecs.io/cpus/athlon-240ge
Athlon 3000G,AMD,Zen,AM4,14nm,2,4,3.5,3.5,35,DDR4,64,2,No,Yes,https://pcspecs.io/cpus/athlon-3000g
Athlon X4 845,AMD,Excavator,,28nm,4,4,3.5,3.8,65,DDR3,64,2,No,No,https://pcspecs.io/cpus/athlon-x4-845
Athlon X4 860K,AMD,Kaveri,,28nm,4,4,3.7,4.0,95,DDR3,64,2,No,No,https://pcspecs.io/cpus/athlon-x4-860k
Athlon X4 880K,AMD,Godavari,,28nm,4,4,4.0,4.2,95,DDR3,64,2,No,No,https://pcspecs.io/cpus/athlon-x4-880k
EPYC 4124P,AMD,EPYC Series,SP5,,4,8,3.8,5.1,16,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4244P,AMD,EPYC Series,SP5,,6,12,3.8,5.1,32,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4245P,AMD,EPYC Series,SP5,,6,12,3.9,5.4,28,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4344P,AMD,EPYC Series,SP5,,8,16,3.8,5.3,8,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4345P,AMD,EPYC Series,SP5,,8,16,3.8,5.5,28,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4364P,AMD,EPYC Series,SP5,,8,16,4.5,5.4,8,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4464P,AMD,EPYC Series,SP5,,12,24,3.7,5.4,12,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4465P,AMD,EPYC Series,SP5,,12,24,3.4,5.4,28,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4484PX,AMD,EPYC Series,SP5,,12,24,4.4,5.6,12,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4545P,AMD,EPYC Series,SP5,,16,32,3.0,5.4,28,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4564P,AMD,EPYC Series,SP5,,16,32,4.5,5.7,16,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4565P,AMD,EPYC Series,SP5,,16,32,4.3,5.7,28,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4584PX,AMD,EPYC Series,SP5,,16,32,4.2,5.7,16,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 4585PX,AMD,EPYC Series,SP5,,16,32,4.3,5.7,28,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 7203(P),AMD,EPYC 7002/7003 Series (Rome/Milan),SP3,,8,16,2.8,3.4,150,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 7232P,AMD,EPYC 7002/7003 Series (Rome/Milan),SP3,,8,16,3.1,3.2,120,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 7251,AMD,EPYC 7002/7003 Series (Rome/Milan),SP3,,8,16,2.1,2.9,120,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 7252,AMD,EPYC 7002/7003 Series (Rome/Milan),SP3,,8,16,3.1,3.2,120,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 7261,AMD,EPYC 7002/7003 Series (Rome/Milan),SP3,,8,16,2.5,2.9,170,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 7262,AMD,EPYC 7002/7003 Series (Rome/Milan),SP3,,8,16,3.2,3.4,155,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
EPYC 7272,AMD,EPYC 7002/7003 Series (Rome/Milan),SP3,,12,24,2.9,3.2,120,,,,,,https://en.wikipedia.org/wiki/AMD_EPYC
