manufacturer,name,gpuName,architecture,generation,releaseDate,baseClock,boostClock,memoryClock,memorySize,memoryType,memoryBus,memoryBandwidth,shaders,tensorCores,rtCores,fp32,fp16,fp64,tdp,cuda,processSize,transistors,dieSize,foundry,busInterface,sms,l2Cache,url
ATI,Color Emulation Card,CW16800-A,Wonder,MDA/CGA,1986-08-04,10.0,10.0,5.0,3.2e-05,DRAM,32,0.02,,,,,,,,,800,,90.0,,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/color-emulation-card.c3760
ATI,Graphics Solution,CW16800-A,Wonder,MDA/CGA,1986-09-22,10.0,10.0,5.0,6.4e-05,DRAM,32,0.02,,,,,,,,,800,,90.0,,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/graphics-solution.c3176
ATI,EGA Wonder 800+,18800-1,Wonder,EGA,1988-01-01,25.0,25.0,8.0,0.00025,DRAM,32,0.032,,,,,,,,,800,,90.0,NEC,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/ega-wonder-800.c3182
ATI,Graphics Solution Plus,CW16800-B,Wonder,MDA/CGA,1987-03-23,10.0,10.0,5.0,6.4e-05,DRAM,32,0.02,,,,,,,,,800,,90.0,,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/graphics-solution-plus.c3175
ATI,VGA Improved Performance,CHIPS P82C441,Wonder,VGA,1987-09-28,10.0,10.0,10.0,0.00025,DRAM,32,0.04,,,,,,,,,800,,,,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/vga-improved-performance.c3181
ATI,EGA Wonder 480,CHIPS P82C435,Wonder,EGA,1988-12-26,10.0,10.0,8.0,0.00025,DRAM,32,0.032,,,,,,,,,800,,,,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/ega-wonder-480.c3179
ATI,VGA Wonder,18800-1,Wonder,VGA,1990-02-05,10.0,10.0,10.0,0.00025,DRAM,32,0.04,,,,,,,,,800,,90.0,NEC,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/vga-wonder.c3163
ATI,8514-Ultra,Mach8,Mach,Mach 8,1992-01-01,10.0,10.0,10.0,0.001,VRAM,32,0.04,,,,,,,,,800,,90.0,NEC,ISA 16-bit,,,https://www.techpowerup.com/gpu-specs/8514-ultra.c3161
ATI,Graphics Ultra,Mach8,Mach,Mach 8,1992-01-01,10.0,10.0,10.0,0.001,VRAM,32,0.04,,,,,,,,,800,,90.0,NEC,ISA 16-bit,,,https://www.techpowerup.com/gpu-specs/graphics-ultra.c2031
ATI,Graphics Ultra Pro ISA,Mach32,Mach,Mach 32,1992-01-01,10.0,10.0,10.0,0.002,DRAM,64,0.08,,,,,,,,,700,,90.0,,ISA 16-bit,,,https://www.techpowerup.com/gpu-specs/graphics-ultra-pro-isa.c2032
ATI,Graphics Vantage,Mach8,Mach,Mach 8,1992-01-01,10.0,10.0,10.0,0.001,DRAM,32,0.04,,,,,,,,,800,,90.0,NEC,ISA 16-bit,,,https://www.techpowerup.com/gpu-specs/graphics-vantage.c1680
ATI,Graphics Wonder PCI,Mach32,Mach,Mach 32,1992-01-01,10.0,10.0,10.0,0.001,DRAM,64,0.08,,,,,,,,,700,,90.0,,PCI,,,https://www.techpowerup.com/gpu-specs/graphics-wonder-pci.c3169
ATI,Graphics Wonder VLB,Mach32,Mach,Mach 32,1992-01-01,10.0,10.0,10.0,0.001,DRAM,64,0.08,,,,,,,,,700,,90.0,,VLB,,,https://www.techpowerup.com/gpu-specs/graphics-wonder-vlb.c3162
ATI,VGA Wonder XL24,28800-6,Wonder,VGA,1992-03-16,10.0,10.0,10.0,0.001,DRAM,32,0.04,,,,,,,,,800,,90.0,NEC,ISA 16-bit,,,https://www.techpowerup.com/gpu-specs/vga-wonder-xl24.c2039
